gene.symbol,process
PAN2,PAN2-PAN3
PAN3,PAN2-PAN3
CNOT1,CCR4-NOT
CNOT2,CCR4-NOT
CNOT3,CCR4-NOT
CNOT4,CCR4-NOT
CNOT6,CCR4-NOT
CNOT6L,CCR4-NOT
CNOT7,CCR4-NOT
CNOT8,CCR4-NOT
CNOT9,CCR4-NOT
CNOT10,CCR4-NOT
CNOT11,CCR4-NOT
TNKS1BP1,CCR4-NOT
DIS3,RNA exosome
EXOSC1,RNA exosome
EXOSC2,RNA exosome
EXOSC3,RNA exosome
EXOSC4,RNA exosome
EXOSC5,RNA exosome
EXOSC6,RNA exosome
EXOSC7,RNA exosome
EXOSC8,RNA exosome
EXOSC9,RNA exosome
EXOSC10,RNA exosome
MTREX,RNA exosome
MPHOSPH6,RNA exosome
TENT4B,RNA exosome
ZCCHC7,RNA exosome
C1D,RNA exosome
SETX,RNA exosome
ZCCHC8,RNA exosome
RBM7,RNA exosome
SKIV2L,RNA exosome
TTC37,RNA exosome
WDR61,RNA exosome
HBS1L,RNA exosome
