GSE,ROUGH_DATASET_NAME
GSE100118,201101-GSE100118-full92
GSE101571,200902-GSE101571-full
GSE119324,201104-GSE119324-full10
GSE125616,200911-GSE125616-all
GSE126488,201103-GSE126488-full40
GSE130289,201031-GSE130289-full139
GSE133854,200924-GSE133854-all296
GSE136447,201109-GSE136447-long508
GSE36552,201104-GSE36552-full124
GSE44183,201217-GSE44183-earlyhumanlong21
GSE49828,201104-GSE49828-RNASeqonly3
GSE62772,201102-GSE62772-hESC18
GSE64417,201218-GSE64417-hESConly21
GSE65481,201031-GSE65481-full22
GSE71318,200919-GSE71318-full48
GSE72379,201101-GSE72379-full16
GSE73211,201102-GSE73211-ESC35
GSE95477,201101-GSE95477-full20
